Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010],2014 [YR2014]
Internet users (per 100 people),IT.NET.USER.P2,Marshall Islands,MHL,..,0,1.53427179624871,7,16.8
Internet users (per 100 people),IT.NET.USER.P2,Mauritania,MRT,..,0,0.192031462434805,4,10.7
Internet users (per 100 people),IT.NET.USER.P2,Mauritius,MUS,..,0,7.28153511499385,28.33,41.44
Internet users (per 100 people),IT.NET.USER.P2,Mexico,MEX,..,0,5.08138415338066,31.05,44.39
Internet users (per 100 people),IT.NET.USER.P2,"Micronesia, Fed. Sts.",FSM,..,0,3.73486213690137,20,29.65
Internet users (per 100 people),IT.NET.USER.P2,Moldova,MDA,..,0,1.28284641670022,32.3,46.6
Internet users (per 100 people),IT.NET.USER.P2,Monaco,MCO,..,0,42.1848634460346,75,92.4
Internet users (per 100 people),IT.NET.USER.P2,Mongolia,MNG,..,0,1.25565200358112,10.2,27
Internet users (per 100 people),IT.NET.USER.P2,Montenegro,MNE,..,..,..,37.5,61
Internet users (per 100 people),IT.NET.USER.P2,Morocco,MAR,..,0,0.693791244805455,52,56.8
Internet users (per 100 people),IT.NET.USER.P2,Mozambique,MOZ,..,0,0.109592530041641,4.17,5.94
Internet users (per 100 people),IT.NET.USER.P2,Myanmar,MMR,..,0,..,0.25,2.1
Internet users (per 100 people),IT.NET.USER.P2,Namibia,NAM,..,0,1.64473954726899,11.6,14.84
Internet users (per 100 people),IT.NET.USER.P2,Nepal,NPL,..,0,0.204651683653029,7.93,15.44
Internet users (per 100 people),IT.NET.USER.P2,Netherlands,NLD,..,0.334386942002658,43.984351373138,90.72,93.17
Internet users (per 100 people),IT.NET.USER.P2,New Caledonia,NCL,..,0,13.9395488232698,42,70
Internet users (per 100 people),IT.NET.USER.P2,New Zealand,NZL,..,0,47.3795565432096,80.46,85.5
Internet users (per 100 people),IT.NET.USER.P2,Nicaragua,NIC,..,0,0.980216486692385,10,17.6
Internet users (per 100 people),IT.NET.USER.P2,Niger,NER,..,0,0.0362612938065891,0.83,1.95
Internet users (per 100 people),IT.NET.USER.P2,Nigeria,NGA,..,0,0.0640808079494101,24,42.68
Internet users (per 100 people),IT.NET.USER.P2,Northern Mariana Islands,MNP,..,0,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Norway,NOR,..,0.707299448188547,52,93.39,96.3
Internet users (per 100 people),IT.NET.USER.P2,Oman,OMN,..,0,3.52042141651097,35.8278,70.22
Internet users (per 100 people),IT.NET.USER.P2,Pakistan,PAK,..,0,..,8,13.8
Internet users (per 100 people),IT.NET.USER.P2,Palau,PLW,..,0,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Panama,PAN,..,0,6.55479647729549,40.1,44.92
Internet users (per 100 people),IT.NET.USER.P2,Papua New Guinea,PNG,..,0,0.835249302427624,1.28,9.38
Internet users (per 100 people),IT.NET.USER.P2,Paraguay,PRY,..,0,0.747630711548184,19.8,43
Internet users (per 100 people),IT.NET.USER.P2,Peru,PER,..,0,3.07643061137675,34.77,40.2
Internet users (per 100 people),IT.NET.USER.P2,Philippines,PHL,..,0,1.98225319605827,25,39.69
Internet users (per 100 people),IT.NET.USER.P2,Poland,POL,..,0,7.2854287080601,62.32,66.6
Internet users (per 100 people),IT.NET.USER.P2,Portugal,PRT,..,0,16.4304676923534,53.3,64.59
Internet users (per 100 people),IT.NET.USER.P2,Puerto Rico,PRI,..,0,10.4746482089399,45.3,78.78
Internet users (per 100 people),IT.NET.USER.P2,Qatar,QAT,..,0,4.86367917875156,69,91.49
Internet users (per 100 people),IT.NET.USER.P2,Romania,ROM,..,0,3.61371729139783,39.93,54.08
Internet users (per 100 people),IT.NET.USER.P2,Russian Federation,RUS,..,0,1.97723010897647,43,70.52
Internet users (per 100 people),IT.NET.USER.P2,Rwanda,RWA,..,0,0.0628314595107164,8,10.6
Internet users (per 100 people),IT.NET.USER.P2,Samoa,WSM,..,0,0.566392532680849,7,21.2
Internet users (per 100 people),IT.NET.USER.P2,San Marino,SMR,..,0,48.7994953055999,..,..
Internet users (per 100 people),IT.NET.USER.P2,Sao Tome and Principe,STP,..,0,4.6385168164075,18.75,24.41
Internet users (per 100 people),IT.NET.USER.P2,Saudi Arabia,SAU,..,0,2.21069180908888,41,63.7
Internet users (per 100 people),IT.NET.USER.P2,Senegal,SEN,..,0,0.403967485868965,8,17.7
Internet users (per 100 people),IT.NET.USER.P2,Serbia,SRB,..,..,..,40.9,53.5
Internet users (per 100 people),IT.NET.USER.P2,Seychelles,SYC,..,0,7.39562918315276,41,54.26
Internet users (per 100 people),IT.NET.USER.P2,Sierra Leone,SLE,..,0,0.118254245682183,0.58,2.1
Internet users (per 100 people),IT.NET.USER.P2,Singapore,SGP,..,0,36,71,82
Internet users (per 100 people),IT.NET.USER.P2,Sint Maarten (Dutch part),SXM,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Slovak Republic,SVK,..,0,9.42680320061637,75.71,79.98
Internet users (per 100 people),IT.NET.USER.P2,Slovenia,SVN,..,0,15.1102595640388,70,71.59
Internet users (per 100 people),IT.NET.USER.P2,Solomon Islands,SLB,..,0,0.481296806114395,5,9
Internet users (per 100 people),IT.NET.USER.P2,Somalia,SOM,..,0,0.02,..,1.63
Internet users (per 100 people),IT.NET.USER.P2,South Africa,ZAF,..,0,5.34855973203537,24,49
Internet users (per 100 people),IT.NET.USER.P2,South Sudan,SSD,..,..,..,7,15.9
Internet users (per 100 people),IT.NET.USER.P2,Spain,ESP,..,0.0128735644495179,13.6249608089899,65.8,76.19
Internet users (per 100 people),IT.NET.USER.P2,Sri Lanka,LKA,..,0,0.647410010940963,12,25.8
Internet users (per 100 people),IT.NET.USER.P2,St. Kitts and Nevis,KNA,..,0,5.86281024037522,63,65.4
Internet users (per 100 people),IT.NET.USER.P2,St. Lucia,LCA,..,0,5.09048334139327,43.3,51
Internet users (per 100 people),IT.NET.USER.P2,St. Martin (French part),MAF,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,St. Vincent and the Grenadines,VCT,..,0,3.24503741064558,38.5,56.48
Internet users (per 100 people),IT.NET.USER.P2,Sudan,SDN,..,0,0.0257850324762484,16.7,24.64
Internet users (per 100 people),IT.NET.USER.P2,Suriname,SUR,..,0,2.50641105226881,31.59,40.08
Internet users (per 100 people),IT.NET.USER.P2,Swaziland,SWZ,..,0,0.926191777269402,11.04,27.1
Internet users (per 100 people),IT.NET.USER.P2,Sweden,SWE,..,0.584192066461428,45.6876522122282,90,92.52
Internet users (per 100 people),IT.NET.USER.P2,Switzerland,CHE,..,0.595714223377047,47.1,83.9,87
Internet users (per 100 people),IT.NET.USER.P2,Syrian Arab Republic,SYR,0,0,0.181698580104333,20.7,28.09
Internet users (per 100 people),IT.NET.USER.P2,"Taiwan, China",TWN,..,..,..,..,..
Internet users (per 100 people),IT.NET.USER.P2,Tajikistan,TJK,..,0,0.048599594582182,11.55,17.49
Internet users (per 100 people),IT.NET.USER.P2,Tanzania,TZA,..,0,0.11719444010825,2.9,4.86
Internet users (per 100 people),IT.NET.USER.P2,Thailand,THA,0,0,3.68904127944164,22.4,34.89
